AudioOffset:800
-
(0,1);
(0,4);
(250,3);
(500,2);
(500,4);
(750,3);
(1000,3);
(1000,1);
(1250,2);
(1500,1);
(1500,3);
(1750,4);
(1833,3);
(2000,2);
(2000,3);
(2167,1);
(2333,4);
(2417,3);
(2500,3);
(2583,2);
(2667,4);
(2667,1);
(2917,2);
(3167,1);
(3167,3);
(3417,2);
(3667,4);
(3667,2);
(3917,3);
(4167,4);
(4167,2);
(4417,1);
(4500,2);
(4667,3);
(4667,2);
(4834,4);
(5000,1);
(5000,4);
(5333,1);
(5333,2);
(5500,3);
(5667,4);
(5833,3);
(5833,2);
(6000,1);
(6167,4);
(6333,3);
(6333,4);
(6500,1);
(6667,2);
(6833,1);
(6833,4);
(7000,2);
(7167,3);
(7333,2);
(7333,4);
(7500,1);
(7500,3);
(7667,2);
(7750,4);
(7833,1);
(7917,2);
(8000,4);
(8000,3);
(8167,2);
(8334,1);
(8500,3);
(8500,2);
(8667,4);
(8834,1);
(9000,2);
(9000,1);
(9167,4);
(9334,3);
(9500,1);
(9500,4);
(9667,3);
(9834,2);
(10000,3);
(10000,1);
(10167,4);
(10167,2);
(10333,3);
(10333,1);
(10333,2);
(10333,4);
